HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,c
16.4,7.07,0
5.33,1.5,0
6.2,2.5,0
5.33,1.5,0
5.33,1.5,0
7.75,2.0,0
5.33,1.5,0
7.75,2.0,0
5.33,1.5,0
7.74,1.5,0
12.68,2.5,0
21.54,19.27,0
0.0,0.0,0
57.1,7.54,0
37.92,34.5,0
7.33,4.5,0
13.45,3.6,0
5.33,1.5,0
7.75,2.0,0
38.4,2.5,0
7.75,2.0,0
5.33,1.5,0
7.75,2.0,0
18.15,7.71,0
7.74,1.5,0
26.82,5.32,0
4.87,13.5,0
19.78,20.04,0
5.33,1.5,0
5.33,1.5,0
8.98,2.5,0
48.97,8.74,0
13.2,2.5,0
8.0,1.0,0
5.33,1.5,0
5.33,1.5,0
15.36,3.5,0
9.51,3.0,0
5.8,2.0,0
7.74,1.5,0
23.37,9.45,0
68.12,26.54,0
9.08,5.33,0
23.46,10.29,0
5.8,2.0,0
7.75,2.0,0
5.33,1.5,0
8.3,6.0,0
56.19,14.88,0
19.07,10.91,0
5.33,1.5,0
7.75,2.0,0
7.74,1.5,0
0.0,0.0,0
7.75,2.0,0
5.33,1.5,0
5.8,2.0,0
10.34,2.0,0
0.0,0.0,0
16.84,1.5,0
21.67,1.8,0
16.4,7.07,0
0.0,0.0,0
15.23,4.0,0
7.74,1.5,0
21.67,1.8,0
11.18,5.63,0
50.07,8.26,0
48.19,31.87,0
36.94,52.98,0
23.88,12.66,0
111.26,8.1,0
21.67,1.8,0
6.55,3.0,0
32.72,12.8,0
5.33,1.5,0
7.74,1.5,0
6.89,3.0,0
12.35,16.0,0
5.33,1.5,0
14.46,7.5,0
7.75,2.0,0
13.96,6.0,0
5.8,2.0,0
7.86,2.5,0
21.67,1.8,0
0.0,0.0,0
6.55,3.0,0
83.2,3.33,0
46.18,8.5,0
19.02,2.0,0
9.47,2.67,0
9.32,5.0,0
7.75,2.0,0
5.33,1.5,0
16.84,1.5,0
8.98,2.5,0
13.5,2.0,0
16.97,7.07,0
56.97,63.22,0
11.23,2.0,0
34.8,12.29,0
28.92,4.33,0
5.8,2.0,0
5.33,1.5,0
21.34,9.45,0
5.33,1.5,0
37.57,5.85,0
7.74,1.5,0
19.78,20.04,0
23.26,21.67,0
21.67,1.8,0
7.86,2.5,0
13.5,2.0,0
7.86,2.5,0
3.0,1.0,0
0.0,0.0,0
5.33,1.5,0
48.37,5.36,0
11.99,6.67,0
17.51,5.0,0
5.33,1.5,0
0.0,0.0,0
5.33,1.5,0
9.83,2.0,0
7.75,2.0,0
8.3,6.0,0
7.74,1.5,0
7.75,2.0,0
7.75,2.0,0
8.76,10.0,0
16.84,1.5,0
9.51,3.0,0
14.28,4.0,0
13.45,3.6,0
7.86,2.5,0
17.51,5.0,0
74.53,21.0,1
5.33,1.5,0
21.89,8.0,0
9.47,2.67,0
5.33,1.5,0
7.74,1.5,0
7.74,1.5,0
5.33,1.5,0
7.75,2.0,0
62.91,15.83,0
5.33,1.5,0
29.62,75.0,0
7.32,8.17,0
73.7,11.83,0
7.75,2.0,0
5.33,1.5,0
5.33,1.5,0
5.33,1.5,0
62.52,23.8,0
51.37,9.46,0
8.3,6.67,0
11.63,2.0,0
17.55,13.82,0
9.51,3.0,0
7.75,2.0,0
5.33,1.5,0
20.97,3.0,0
6.2,2.5,0
80.6,73.26,0
15.36,3.5,0
7.33,4.5,0
9.0,3.0,0
5.33,1.5,0
46.36,22.4,0
6.2,2.5,0
5.33,1.5,0
7.75,2.0,0
13.45,5.4,0
23.41,13.0,0
49.82,25.34,0
16.4,7.07,0
7.74,1.5,0
5.33,1.5,0
18.89,8.44,0
12.18,3.0,0
7.75,2.0,0
7.75,2.0,0
0.0,0.0,0
32.45,11.73,0
6.55,3.0,0
0.0,0.0,0
24.54,6.75,0
7.86,2.5,0
5.33,1.5,0
7.74,1.5,0
0.0,0.0,0
5.33,1.5,0
25.11,40.0,0
15.5,3.0,0
15.07,9.75,0
12.68,2.5,0
20.54,4.38,0
0.0,0.0,0
5.33,1.5,0
15.36,3.5,0
21.5,7.15,0
36.05,24.98,0
9.51,3.0,0
8.3,6.0,0
6.55,3.0,0
11.89,13.13,0
0.0,0.0,0
7.74,1.5,0
8.54,4.67,1
5.8,2.0,0
7.75,2.0,0
28.6,47.67,0
5.33,1.5,0
5.33,1.5,0
7.75,2.0,0
7.74,1.5,0
7.75,2.0,0
12.44,4.9,0
7.75,2.0,0
11.23,2.0,0
30.2,31.5,0
7.75,2.0,0
8.3,6.0,0
8.54,5.83,0
13.5,2.0,0
5.33,1.5,0
21.5,7.15,0
6.69,7.5,0
7.75,2.0,0
17.51,5.0,0
12.68,2.5,0
5.33,1.5,0
7.83,4.67,0
9.08,5.33,0
5.33,1.5,0
19.07,10.91,0
18.83,17.73,0
7.74,1.5,0
5.33,1.5,0
9.51,3.0,0
39.15,16.88,0
0.0,0.0,0
5.33,1.5,0
142.01,9.77,0
117.18,2.67,0
0.0,0.0,0
23.44,6.33,0
7.86,2.5,0
15.65,7.31,0
7.74,1.5,0
14.31,15.11,0
0.0,0.0,0
9.51,3.0,0
7.75,2.0,0
6.89,3.0,0
5.33,1.5,0
16.0,1.5,0
73.58,80.67,0
0.0,0.0,0
5.8,2.0,0
5.33,1.5,0
7.35,8.0,0
46.18,8.5,0
45.28,27.61,0
7.74,1.5,0
6.2,2.5,0
9.32,5.0,0
8.98,2.5,0
0.0,0.0,0
9.6,2.5,0
7.86,2.5,0
0.0,0.0,0
5.33,1.5,0
18.89,8.44,0
7.35,8.0,0
7.74,1.5,0
6.55,3.0,0
13.96,6.0,0
7.74,1.5,0
45.97,7.64,0
7.74,1.5,0
38.35,13.0,0
5.33,1.5,0
0.0,0.0,0
10.88,5.6,0
7.81,9.0,0
7.75,2.0,0
0.0,0.0,0
5.33,1.5,0
9.51,3.0,0
0.0,0.0,0
7.75,2.0,0
7.74,1.5,0
22.95,5.06,0
123.14,2.88,0
9.73,5.33,0
14.28,4.0,0
7.75,2.0,0
7.74,1.5,0
7.75,2.0,0
7.33,4.5,0
5.33,1.5,0
7.74,1.5,1
51.18,4.08,0
17.46,16.55,0
5.33,1.5,0
16.84,1.5,0
11.23,2.0,0
0.0,0.0,0
0.0,0.0,0
16.4,7.07,0
7.75,2.0,0
9.31,2.5,0
0.0,0.0,0
7.74,1.5,0
7.75,2.0,0
84.51,60.03,0
16.84,1.5,0
7.74,1.5,0
5.33,1.5,0
5.33,1.5,0
7.35,8.0,0
7.74,1.5,0
5.33,1.5,0
11.23,2.0,0
5.33,1.5,0
12.34,17.5,0
12.68,2.5,0
7.74,1.5,0
50.69,141.56,0
7.75,2.0,0
5.07,8.75,0
5.8,2.0,0
5.33,1.5,0
7.74,1.5,0
9.51,3.0,0
25.11,40.0,0
46.12,13.57,0
6.2,2.5,0
7.86,2.5,0
7.75,2.0,0
0.0,0.0,0
9.51,3.0,0
8.98,2.5,0
25.41,12.54,0
5.33,1.5,0
35.57,7.35,0
0.0,0.0,0
7.74,1.5,0
6.2,2.5,0
7.74,1.5,0
8.72,4.0,0
7.86,2.5,0
7.86,2.5,0
7.74,1.5,0
5.33,1.5,0
7.74,1.5,0
26.24,9.38,0
20.3,25.14,0
0.0,0.0,0
0.0,0.0,0
17.24,7.5,0
16.4,7.07,0
29.4,11.54,0
0.0,0.0,0
7.35,8.0,0
19.72,7.88,0
8.3,6.0,0
9.6,2.5,0
5.33,1.5,0
17.24,7.5,0
5.33,1.5,0
5.33,1.5,0
7.75,2.0,0
7.75,2.0,0
7.74,1.5,0
5.33,1.5,0
5.33,1.5,0
5.33,1.5,0
44.77,2.18,0
6.86,3.5,0
17.83,12.6,0
7.75,2.0,0
17.51,5.0,0
0.0,0.0,0
17.22,4.08,0
8.98,2.5,0
35.11,17.93,0
5.8,2.0,0
5.33,1.5,0
5.33,1.5,0
23.44,11.0,0
19.07,10.91,0
7.75,2.0,0
5.33,1.5,0
6.2,2.5,0
55.48,19.5,1
7.74,1.5,0
12.13,11.0,0
0.0,0.0,0
19.98,4.5,0
0.0,0.0,0
57.64,24.53,0
5.33,1.5,0
7.74,1.5,0
7.74,1.5,0
12.26,7.33,0
26.1,25.94,0
5.33,1.5,0
43.59,6.0,0
6.55,3.0,0
30.59,3.75,0
0.0,0.0,0
11.52,3.75,0
122.07,3.6,1
9.6,2.5,0
5.8,2.0,0
16.4,7.07,0
74.67,1.5,0
13.67,11.43,0
19.25,27.0,0
5.33,1.5,0
7.74,1.5,0
5.33,1.5,0
11.89,13.13,0
13.71,6.67,0
17.46,16.55,0
8.3,6.0,0
7.74,1.5,0
7.74,1.5,0
15.36,3.5,0
7.86,2.5,0
49.82,25.34,0
23.46,10.29,0
0.0,0.0,0
23.46,10.29,0
7.74,1.5,0
5.33,1.5,0
7.75,2.0,0
23.46,10.29,0
57.63,3.12,0
7.75,2.0,0
7.74,1.5,0
7.74,1.5,0
25.11,40.0,0
5.8,2.0,0
7.74,1.5,0
14.4,10.0,0
7.47,8.0,0
7.74,1.5,0
7.75,2.0,0
53.35,6.08,0
7.33,4.5,0
20.67,13.42,0
5.8,2.0,0
14.85,6.67,0
7.74,1.5,0
6.2,2.5,0
7.86,2.5,0
7.75,2.0,0
13.5,2.0,0
6.55,3.0,0
0.0,0.0,0
7.75,2.0,0
7.74,1.5,0
6.69,7.5,0
19.07,10.91,0
5.33,1.5,0
0.0,0.0,0
10.88,5.6,0
7.75,2.0,0
6.2,2.5,0
13.96,6.0,0
5.33,1.5,0
33.01,8.25,0
10.88,5.6,0
5.33,1.5,0
12.13,11.0,0
0.0,0.0,0
56.19,14.88,0
9.0,3.0,0
7.75,2.0,0
5.8,2.0,0
7.74,1.5,0
64.25,2.25,0
7.74,1.5,0
0.0,0.0,0
13.67,11.43,0
25.56,37.92,0
7.75,2.0,0
7.75,2.0,0
5.33,1.5,0
7.74,1.5,0
14.14,10.56,0
0.0,0.0,0
7.75,2.0,0
15.36,3.5,0
11.68,5.33,0
11.89,13.13,0
7.75,2.0,0
6.69,7.5,0
5.33,1.5,0
16.84,1.5,0
7.74,1.5,0
7.75,2.0,0
5.33,1.5,0
10.0,1.0,0
7.74,1.5,0
26.8,24.09,0
7.75,2.0,0
69.36,8.0,0
0.0,0.0,0
6.55,3.0,0
7.81,9.0,0
5.33,1.5,0
5.33,1.5,0
17.17,2.4,0
12.68,2.5,0
5.33,1.5,0
20.4,43.71,0
0.0,0.0,0
6.55,3.0,0
8.6,7.5,0
13.45,3.6,0
7.75,2.0,0
11.18,5.63,0
142.01,9.77,0
43.15,6.37,0
7.74,1.5,0
6.55,3.0,0
10.66,7.5,0
5.33,1.5,0
12.68,2.5,0
7.74,1.5,0
10.68,4.67,0
7.75,2.0,0
12.71,44.0,0
0.0,0.0,0
15.5,3.0,0
7.75,2.0,0
7.75,2.0,0
77.08,13.04,0
25.22,9.45,0
7.75,2.0,0
0.0,0.0,0
6.55,3.0,0
0.0,0.0,0
7.74,1.5,0
5.8,2.0,0
5.8,2.0,0
18.89,8.44,0
5.33,1.5,0
7.74,1.5,0
34.39,17.33,0
5.33,1.5,0
8.3,6.67,0
5.33,1.5,0
14.97,9.29,0
11.86,3.5,0
5.33,1.5,0
7.75,2.0,0
5.8,2.0,0
7.75,2.0,0
98.83,3.96,0
5.33,1.5,0
0.0,0.0,0
7.75,2.0,0
31.35,9.97,0
5.33,1.5,0
7.81,9.0,0
0.0,0.0,0
7.75,2.0,0
34.14,30.0,0
22.87,20.8,0
5.33,1.5,0
8.98,2.5,0
5.8,2.0,0
5.8,2.0,0
9.32,5.0,0
20.04,11.0,0
13.67,6.0,0
0.0,0.0,0
7.74,1.5,0
5.33,1.5,0
9.51,3.0,0
10.68,4.67,0
5.33,1.5,0
7.74,1.5,0
7.74,1.5,0
9.0,3.0,0
0.0,0.0,0
5.8,2.0,0
11.99,6.67,0
9.88,5.25,0
9.32,5.0,0
11.2,18.2,0
12.68,2.5,0
7.75,2.0,0
11.86,3.5,0
20.08,5.5,0
7.81,9.0,0
9.51,3.0,0
7.75,2.0,0
9.83,2.0,0
0.0,0.0,0
9.83,2.0,0
5.33,1.5,0
78.21,15.38,0
19.07,10.91,0
8.3,6.0,0
10.68,4.67,0
16.84,1.5,0
5.33,1.5,0
16.4,7.07,0
7.74,1.5,0
7.74,1.5,0
14.84,49.11,0
5.33,1.5,0
20.08,5.5,0
39.78,6.19,0
5.33,1.5,0
26.07,35.6,0
0.0,0.0,0
7.74,1.5,0
7.74,1.5,0
5.33,1.5,0
0.0,0.0,0
42.67,3.56,0
35.01,12.33,0
12.55,4.0,0
11.56,6.4,0
34.4,5.0,0
11.86,3.5,0
0.0,0.0,0
7.75,2.0,0
7.75,2.0,0
5.33,1.5,0
8.0,1.0,0
11.89,13.13,0
8.6,7.5,0
19.78,20.04,0
11.86,3.5,0
5.33,1.5,0
7.75,2.0,0
8.3,6.0,0
7.74,1.5,0
5.33,1.5,0
7.75,2.0,0
74.92,2.5,1
7.86,2.5,0
11.86,3.5,0
25.56,20.0,0
7.74,1.5,0
9.29,1.5,0
11.23,2.0,0
5.33,1.5,0
15.5,3.0,0
55.48,19.5,1
8.98,2.5,0
7.86,2.5,0
23.69,4.5,0
7.74,1.5,0
8.98,2.5,0
84.05,13.03,0
7.74,1.5,0
6.2,2.5,0
10.24,7.0,0
15.29,13.8,0
7.74,1.5,0
7.74,1.5,0
15.36,3.5,0
7.75,2.0,0
9.47,2.67,0
0.0,0.0,0
5.33,1.5,0
9.51,3.0,0
0.0,0.0,0
23.46,10.29,0
7.74,1.5,0
5.33,1.5,0
11.18,5.63,0
6.55,3.0,0
5.33,1.5,0
79.49,15.92,0
17.51,5.0,0
6.2,2.5,0
12.55,4.0,0
5.33,1.5,0
21.8,4.4,0
9.83,2.0,0
8.98,2.5,0
6.55,3.0,0
7.17,12.0,0
8.3,6.0,0
9.51,3.0,0
7.74,1.5,0
8.6,7.5,0
5.33,1.5,0
7.75,2.0,0
7.75,2.0,0
20.08,5.5,0
7.75,2.0,0
22.46,39.38,0
7.75,2.0,0
6.55,3.0,0
28.6,47.67,0
34.14,30.0,0
7.74,1.5,0
0.0,0.0,0
7.74,1.5,0
0.0,0.0,0
14.28,4.0,0
13.96,6.0,0
19.07,10.91,0
5.33,1.5,0
7.75,2.0,0
7.74,1.5,0
0.0,0.0,0
7.81,9.0,0
7.74,1.5,0
9.51,3.0,0
5.33,1.5,0
28.49,33.47,0
31.67,12.63,0
7.74,1.5,0
7.74,1.5,0
16.84,1.5,0
17.46,16.55,0
55.48,19.5,1
0.0,0.0,0
7.75,2.0,0
11.89,13.13,0
6.2,2.5,0
5.8,2.0,0
17.22,4.08,0
7.75,2.0,0
33.7,8.91,0
5.33,1.5,0
10.68,4.67,0
17.22,4.08,0
0.0,0.0,0
7.74,1.5,0
22.2,65.6,0
8.72,13.0,0
9.0,3.0,0
11.86,3.5,0
7.74,1.5,0
21.58,5.25,0
5.33,1.5,0
5.33,1.5,0
16.84,1.5,0
6.69,7.5,0
13.21,29.25,0
6.2,2.5,0
8.98,2.5,0
5.33,1.5,0
6.55,3.0,0
40.25,78.0,0
13.88,10.21,0
13.5,2.0,0
9.47,2.67,0
36.47,26.65,0
7.75,2.0,0
7.75,2.0,0
5.33,1.5,0
13.67,6.0,0
9.0,3.0,0
24.26,11.0,0
38.4,2.5,0
42.67,3.56,0
9.6,2.5,0
68.41,12.36,0
86.27,47.4,0
5.33,1.5,0
0.0,0.0,0
116.98,3.0,0
27.53,7.5,0
6.55,3.0,0
7.75,2.0,0
5.07,8.75,0
20.08,5.5,0
7.75,2.0,0
7.75,2.0,0
7.75,2.0,0
7.74,1.5,0
23.46,10.29,0
8.6,7.5,0
12.8,4.2,0
31.0,44.38,1
26.08,61.0,0
7.75,2.0,0
20.54,4.38,0
5.33,1.5,0
25.11,40.0,0
20.96,10.5,0
5.33,1.5,0
7.74,1.5,0
5.33,1.5,0
5.33,1.5,0
5.33,1.5,0
6.55,3.0,0
17.46,16.55,0
13.67,6.0,0
5.33,1.5,0
20.56,7.56,0
9.51,3.0,0
0.0,0.0,0
7.74,1.5,0
5.33,1.5,0
7.75,2.0,0
7.74,1.5,0
11.52,3.75,0
7.74,1.5,0
9.32,19.6,0
19.78,20.04,0
5.33,1.5,0
7.75,2.0,0
21.67,1.8,0
0.0,0.0,0
5.33,1.5,0
21.67,1.8,0
27.89,28.39,0
5.8,2.0,0
27.15,4.45,0
5.8,2.0,0
15.07,9.75,0
8.0,1.0,0
9.08,5.33,0
0.0,0.0,0
5.33,1.5,0
5.33,1.5,0
7.75,2.0,0
16.4,7.07,0
5.33,1.5,0
12.18,3.0,0
18.89,8.44,0
29.26,19.96,0
0.0,0.0,0
7.75,2.0,0
13.67,6.0,0
5.33,1.5,0
17.22,4.08,0
7.75,2.0,0
7.75,2.0,0
19.78,20.04,0
7.75,2.0,0
5.33,1.5,0
14.73,8.94,0
15.07,9.75,0
7.75,2.0,0
7.75,2.0,0
9.51,3.0,0
7.74,1.5,0
5.33,1.5,0
61.59,17.5,0
0.0,0.0,0
7.35,8.0,0
4.75,1.0,0
7.74,1.5,0
5.8,2.0,0
17.46,16.55,0
7.74,1.5,0
9.9,3.33,0
5.33,1.5,0
17.24,7.5,0
5.33,1.5,0
13.5,2.0,0
18.98,2.92,0
15.07,9.75,0
13.96,6.0,0
13.3,41.33,0
5.33,1.5,0
5.33,1.5,0
6.69,7.5,0
86.0,1.6,0
27.78,3.6,0
11.89,13.13,0
7.75,2.0,0
8.98,2.5,0
7.74,1.5,0
5.33,1.5,0
17.9,36.67,0
7.75,2.0,0
24.96,18.42,0
11.68,12.0,0
46.18,8.5,0
5.8,2.0,0
21.67,1.8,0
5.33,1.5,0
39.72,13.8,0
5.33,1.5,0
10.24,7.0,0
0.0,0.0,0
0.0,0.0,0
51.89,12.22,0
0.0,0.0,0
7.75,2.0,0
14.73,8.94,0
0.0,0.0,0
5.33,1.5,0
6.2,2.5,0
7.74,1.5,0
7.74,1.5,0
19.07,10.91,0
7.74,1.5,0
6.69,7.5,0
5.33,1.5,0
11.18,5.63,0
38.4,2.5,0
31.0,44.38,0
7.74,1.5,0
10.57,3.0,0
0.0,0.0,0
6.2,2.5,0
7.86,2.5,0
46.36,22.4,0
7.74,1.5,0
0.0,0.0,0
5.8,2.0,0
9.6,2.5,0
29.6,96.43,0
19.78,20.04,0
7.74,1.5,0
7.71,3.5,0
7.74,1.5,0
108.08,8.29,0
10.08,12.0,0
7.71,3.5,0
12.68,2.5,0
7.75,2.0,0
7.74,1.5,0
5.33,1.5,0
11.99,6.67,0
7.86,2.5,0
7.74,1.5,0
21.67,1.8,0
43.64,7.88,0
0.0,0.0,0
20.09,7.0,0
5.33,1.5,0
7.75,2.0,0
22.54,4.33,0
6.2,2.5,0
7.74,1.5,0
8.6,7.5,0
7.75,2.0,0
7.75,2.0,0
7.81,9.0,0
5.33,1.5,0
16.4,7.07,0
13.45,5.4,0
5.8,2.0,0
7.74,1.5,0
21.93,12.0,0
19.43,5.14,0
8.72,4.0,0
0.0,0.0,0
28.64,36.53,0
5.33,1.5,0
23.23,6.05,0
8.3,4.0,0
9.51,3.0,0
5.33,1.5,0
10.57,3.0,0
30.59,3.75,0
24.54,6.75,0
0.0,0.0,0
31.76,6.79,0
5.33,1.5,0
7.74,1.5,0
9.29,1.5,0
7.35,8.0,0
7.75,2.0,0
6.69,7.5,0
7.74,1.5,0
10.97,13.0,0
19.07,10.91,0
8.3,6.0,0
14.16,8.0,0
0.0,0.0,0
23.46,10.29,0
5.33,1.5,0
5.33,1.5,0
17.24,7.5,0
5.33,1.5,0
26.08,61.0,0
0.0,0.0,0
16.84,1.5,0
15.65,7.31,0
5.33,1.5,0
6.69,7.5,0
9.51,3.0,0
5.33,1.5,0
8.98,2.5,0
0.0,0.0,0
7.86,2.5,0
3.48,4.0,0
5.33,1.5,0
7.74,1.5,0
12.68,2.5,0
38.35,13.0,0
10.88,5.6,0
0.0,0.0,0
0.0,0.0,0
21.67,1.8,0
0.0,0.0,0
7.75,2.0,0
8.98,2.5,0
14.96,8.64,0
6.69,7.5,0
7.75,2.0,0
5.33,1.5,0
17.95,12.78,0
27.53,7.5,0
11.07,4.38,0
15.36,3.5,0
8.6,7.5,0
5.33,1.5,0
5.33,1.5,0
5.33,1.5,0
36.94,52.98,0
7.75,2.0,0
16.51,4.8,0
17.22,4.08,0
5.33,1.5,0
11.86,3.5,0
7.74,1.5,0
7.74,1.5,0
5.33,1.5,0
5.33,1.5,0
8.98,2.5,0
7.74,1.5,0
5.33,1.5,0
23.46,10.29,0
25.56,20.0,0
15.07,9.75,0
5.33,1.5,0
7.74,1.5,0
11.89,13.13,0
0.0,0.0,0
20.08,5.5,0
10.68,4.67,0
5.33,1.5,0
8.54,4.67,0
0.0,0.0,0
7.86,2.5,0
7.75,2.0,0
8.3,6.0,0
5.33,1.5,0
0.0,0.0,0
30.82,6.29,0
5.33,1.5,0
5.8,2.0,0
12.18,3.0,0
7.75,2.0,0
5.33,1.5,0
21.75,67.36,0
7.74,1.5,0
10.88,5.6,0
0.0,0.0,0
9.69,23.38,0
51.39,1.8,0
26.29,17.5,0
98.83,17.19,0
0.0,0.0,0
7.74,1.5,0
6.69,7.5,0
48.19,31.87,0
79.49,15.92,0
5.33,1.5,0
7.75,2.0,0
6.69,7.5,0
14.84,49.11,0
5.33,1.5,0
24.54,6.75,0
7.75,2.0,0
7.74,1.5,0
5.33,1.5,0
0.0,0.0,0
5.33,1.5,0
7.74,1.5,0
0.0,0.0,0
9.51,3.0,0
9.47,2.67,0
30.59,55.52,0
7.74,1.5,0
11.18,5.63,0
51.44,5.06,0
5.33,1.5,0
11.81,4.5,0
5.33,1.5,0
7.75,2.0,0
0.0,0.0,0
5.33,1.5,0
5.33,1.5,0
5.33,1.5,0
6.2,2.5,0
0.0,0.0,0
9.51,3.0,0
43.59,6.0,0
17.51,5.0,0
7.75,2.0,0
5.33,1.5,0
7.74,1.5,0
22.94,12.5,0
21.67,1.8,0
17.24,7.5,0
7.74,1.5,0
12.2,11.14,0
7.75,2.0,0
5.33,1.5,0
5.33,1.5,0
31.92,18.79,0
7.74,1.5,0
12.35,16.0,0
8.3,6.0,0
7.81,9.0,0
16.51,4.8,0
7.75,2.0,0
6.55,3.0,0
14.28,4.0,0
93.01,3.5,1
15.35,9.64,0
32.4,5.33,1
6.55,3.0,0
0.0,0.0,0
10.24,7.0,0
21.8,4.4,0
7.75,2.0,0
8.54,4.67,0
11.99,6.67,0
22.96,8.8,0
7.75,2.0,0
57.61,32.93,0
22.16,9.33,0
29.96,8.57,0
21.5,7.15,0
7.75,2.0,0
7.35,8.0,0
5.8,2.0,0
14.38,4.5,0
17.09,5.71,0
0.0,0.0,0
0.0,0.0,0
9.32,5.0,0
5.33,1.5,0
13.5,2.0,0
7.75,2.0,0
13.18,22.0,0
7.74,1.5,0
51.95,61.33,0
11.26,10.0,0
69.36,8.0,0
7.74,1.5,0
26.35,7.5,0
5.33,1.5,0
0.0,0.0,0
10.88,5.6,0
9.51,4.0,0
5.07,8.75,0
50.09,9.0,0
9.29,1.5,0
11.58,2.67,0
5.33,1.5,0
8.1,3.33,0
9.0,3.0,0
96.51,10.29,0
5.33,1.5,0
23.06,3.75,0
11.89,13.13,0
5.33,1.5,0
181.4,5.48,0
7.74,1.5,0
5.33,1.5,0
7.74,1.5,0
0.0,0.0,0
20.54,4.38,0
7.75,2.0,0
55.28,6.0,0
26.68,20.0,0
7.75,2.0,0
5.33,1.5,0
23.46,10.29,0
17.46,16.55,0
0.0,0.0,0
7.74,1.5,0
9.51,3.0,0
35.16,5.0,0
5.33,1.5,0
99.91,4.15,0
45.8,8.0,0
12.0,2.5,0
13.29,3.0,0
27.05,6.91,0
11.23,2.0,0
9.0,3.0,0
5.07,8.75,0
7.86,2.5,0
7.75,2.0,0
5.8,2.0,0
5.33,1.5,0
6.2,2.5,0
26.76,22.02,0
19.78,20.04,0
74.67,1.5,0
73.7,8.1,0
7.74,1.5,0
5.33,1.5,0
0.0,0.0,0
14.33,7.86,0
6.55,3.0,0
9.97,4.0,0
7.75,2.0,0
7.74,1.5,0
5.33,1.5,0
8.3,6.0,0
7.74,1.5,0
30.3,8.07,0
46.18,8.5,0
17.51,9.55,0
5.33,1.5,0
0.0,0.0,0
7.75,2.0,0
13.67,11.43,0
7.74,1.5,0
5.33,1.5,0
13.67,6.0,0
7.74,1.5,0
5.33,1.5,0
22.45,12.07,0
7.75,2.0,0
5.8,2.0,0
0.0,0.0,0
14.28,4.0,0
7.74,1.5,0
21.67,1.8,0
7.75,2.0,0
20.57,8.56,0
23.67,9.09,0
16.51,4.8,0
5.33,1.5,0
11.63,2.0,0
8.3,6.0,0
7.74,1.5,0
11.52,3.75,0
7.74,1.5,0
15.95,6.86,0
17.51,5.0,0
7.75,2.0,0
7.75,2.0,0
13.67,11.43,0
