n,v,l,d,i,e,t,lOCode,lOComment,lOBlank,uniq_Op,uniq_Opnd,total_Op,total_Opnd,errorRate_binned,defects_binned
21.0,82.04,0.17,6.0,13.67,492.27,27.35,4,0,0,10.0,5.0,15.0,6.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
52.0,224.74,0.06,16.71,13.45,3756.37,208.69,18,0,4,13.0,7.0,34.0,18.0,3,3
51.0,233.83,0.17,6.0,38.97,1403.0,77.94,19,0,2,9.0,15.0,31.0,20.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
516.0,3223.93,0.03,34.67,93.0,111762.93,6209.05,118,7,16,19.0,57.0,308.0,208.0,3,3
226.0,1300.6,0.03,33.19,39.19,43166.62,2398.15,62,7,12,25.0,29.0,149.0,77.0,3,3
106.0,539.27,0.07,14.86,36.3,8012.03,445.11,36,7,8,13.0,21.0,58.0,48.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
71.0,355.0,0.15,6.46,54.98,2292.07,127.34,20,3,0,9.0,23.0,38.0,33.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
491.0,3179.59,0.02,45.4,70.04,144343.07,8019.06,92,9,12,26.0,63.0,271.0,220.0,3,3
300.0,1862.84,0.04,24.96,74.63,46500.6,2583.37,79,21,15,21.0,53.0,174.0,126.0,3,3
47.0,215.49,0.11,9.0,23.94,1939.44,107.75,10,0,2,12.0,12.0,29.0,18.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
15.0,51.89,0.34,2.92,17.79,151.35,8.41,4,0,2,5.0,6.0,8.0,7.0,3,3
15.0,51.89,0.34,2.92,17.79,151.35,8.41,4,0,2,5.0,6.0,8.0,7.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
445.0,2829.11,0.02,41.45,68.26,117259.19,6514.4,97,0,9,25.0,57.0,256.0,189.0,3,3
15.0,51.89,0.34,2.92,17.79,151.35,8.41,4,0,2,5.0,6.0,8.0,7.0,3,3
14.0,46.51,0.33,3.0,15.5,139.52,7.75,4,0,2,5.0,5.0,8.0,6.0,3,3
17.0,62.91,0.24,4.08,15.41,256.87,14.27,6,0,1,7.0,6.0,10.0,7.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
644.0,4230.99,0.03,34.25,123.53,144911.31,8050.63,115,8,24,19.0,76.0,370.0,274.0,3,3
273.0,1656.04,0.06,18.04,91.8,29873.71,1659.65,62,4,9,16.0,51.0,158.0,115.0,3,3
15.0,51.89,0.34,2.92,17.79,151.35,8.41,4,0,2,5.0,6.0,8.0,7.0,3,3
40.0,183.4,0.13,8.0,22.92,1467.19,81.51,8,0,2,12.0,12.0,24.0,16.0,3,3
135.0,708.47,0.07,14.88,47.63,10538.49,585.47,28,6,6,17.0,30.0,116.0,74.0,3,3
79.0,346.99,0.22,4.59,75.63,1592.09,88.45,12,0,0,4.0,17.0,40.0,39.0,3,3
62.0,267.96,0.05,21.0,12.76,5627.15,312.62,15,0,2,12.0,8.0,34.0,28.0,3,3
250.0,1372.96,0.03,33.25,41.29,45651.03,2536.17,52,19,12,21.0,24.0,174.0,76.0,3,3
50.0,235.02,0.24,4.24,55.47,995.75,55.32,10,0,1,7.0,19.0,27.0,23.0,3,3
80.0,396.34,0.08,11.92,33.26,4723.0,262.39,28,1,14,13.0,18.0,47.0,33.0,3,3
402.0,2583.36,0.02,46.42,55.65,119927.45,6662.64,111,1,14,34.0,52.0,260.0,142.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
107.0,508.77,0.08,12.06,42.19,6135.2,340.84,16,0,4,10.0,17.0,66.0,41.0,3,3
157.0,851.92,0.08,12.2,69.81,10396.13,577.56,23,3,4,11.0,32.0,86.0,71.0,3,3
45.0,171.33,0.07,14.4,11.9,2467.17,137.06,9,0,2,9.0,5.0,29.0,16.0,3,3
22.0,88.0,0.12,8.33,10.56,733.33,40.74,9,0,1,10.0,6.0,12.0,10.0,3,3
11.0,34.87,0.32,3.12,11.16,108.97,6.05,3,0,1,5.0,4.0,6.0,5.0,3,3
28.0,109.39,0.13,7.43,14.73,812.63,45.15,13,1,1,8.0,7.0,15.0,13.0,3,3
15.0,53.77,0.24,4.2,12.8,225.85,12.55,3,0,0,7.0,5.0,9.0,6.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
309.0,1725.75,0.03,32.04,53.85,55302.55,3072.36,53,1,8,15.0,32.0,167.0,140.0,3,3
73.0,371.38,0.1,10.15,36.59,3769.56,209.42,23,6,6,14.0,20.0,44.0,29.0,3,3
288.0,1759.26,0.03,34.94,50.35,61473.97,3415.22,76,17,10,25.0,44.0,165.0,123.0,3,3
18.0,72.0,0.3,3.3,21.82,237.6,13.2,14,0,2,6.0,10.0,7.0,11.0,3,3
277.0,1636.21,0.04,28.25,57.92,46222.9,2567.94,64,17,17,20.0,40.0,164.0,113.0,3,3
277.0,1802.66,0.04,26.16,68.92,47150.8,2619.49,85,4,10,27.0,64.0,153.0,124.0,3,3
176.0,942.93,0.03,30.23,31.19,28502.18,1583.45,37,2,10,19.0,22.0,106.0,70.0,3,3
10.0,30.0,0.5,2.0,15.0,60.0,3.33,2,0,0,4.0,4.0,6.0,4.0,3,3
10.0,30.0,0.5,2.0,15.0,60.0,3.33,2,0,0,4.0,4.0,6.0,4.0,3,3
10.0,30.0,0.5,2.0,15.0,60.0,3.33,2,0,0,4.0,4.0,6.0,4.0,3,3
10.0,30.0,0.5,2.0,15.0,60.0,3.33,2,0,0,4.0,4.0,6.0,4.0,3,3
10.0,30.0,0.5,2.0,15.0,60.0,3.33,2,0,0,4.0,4.0,6.0,4.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
21.0,82.04,0.13,8.0,10.26,656.36,36.46,7,2,3,10.0,5.0,13.0,8.0,3,3
30.0,120.0,0.11,9.17,13.09,1100.0,61.11,8,0,1,10.0,6.0,19.0,11.0,3,3
448.0,3020.18,0.04,24.66,122.46,74486.0,4138.1,107,28,37,21.0,86.0,246.0,202.0,3,3
98.0,485.51,0.09,10.71,45.31,5201.91,288.99,29,0,2,10.0,21.0,53.0,45.0,3,3
8.0,24.0,0.4,2.5,9.6,60.0,3.33,2,0,0,5.0,3.0,5.0,3.0,3,3
59.0,236.0,0.13,7.8,30.26,1840.8,102.27,9,0,2,6.0,10.0,33.0,26.0,3,3
352.0,2317.91,0.05,18.58,124.77,43059.58,2392.2,92,14,24,18.0,78.0,191.0,161.0,3,3
137.0,760.98,0.04,23.76,32.03,18080.85,1004.49,38,0,9,22.0,25.0,83.0,54.0,3,3
226.0,1268.92,0.04,27.36,46.38,34716.98,1928.72,40,1,2,17.0,32.0,123.0,103.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
131.0,723.59,0.04,23.38,30.96,16913.84,939.66,32,0,5,22.0,24.0,80.0,51.0,3,3
195.0,1089.07,0.05,20.64,52.77,22476.1,1248.67,34,13,8,19.0,29.0,132.0,63.0,3,3
107.0,576.98,0.05,20.5,28.15,11828.05,657.11,23,0,6,21.0,21.0,66.0,41.0,3,3
195.0,1094.87,0.03,28.97,37.8,31713.43,1761.86,36,4,5,20.0,29.0,111.0,84.0,3,3
69.0,338.58,0.07,14.86,22.79,5030.26,279.46,21,3,5,16.0,14.0,43.0,26.0,3,3
75.0,339.27,0.07,15.27,22.21,5181.53,287.86,17,8,1,12.0,11.0,47.0,28.0,3,3
121.0,639.53,0.05,20.86,30.65,13343.0,741.28,33,2,4,17.0,22.0,67.0,54.0,3,3
100.0,545.94,0.05,21.0,26.0,11464.81,636.93,21,1,5,22.0,22.0,58.0,42.0,3,3
423.0,2658.73,0.02,43.15,61.62,114716.17,6373.12,93,23,13,27.0,51.0,260.0,163.0,3,3
462.0,3042.25,0.02,42.0,72.43,127774.61,7098.59,105,3,11,28.0,68.0,258.0,204.0,3,3
350.0,2083.96,0.02,43.89,47.48,91475.26,5081.96,68,3,11,24.0,38.0,211.0,139.0,3,3
98.0,528.45,0.05,20.0,26.42,10568.94,587.16,21,0,5,21.0,21.0,58.0,40.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
323.0,2081.07,0.03,36.58,56.89,76123.38,4229.08,88,31,8,30.0,57.0,184.0,139.0,3,3
160.0,813.99,0.04,28.44,28.62,23153.61,1286.31,34,1,8,16.0,18.0,96.0,64.0,3,3
87.0,438.86,0.09,10.86,40.42,4764.79,264.71,24,0,5,12.0,21.0,49.0,38.0,3,3
39.0,165.67,0.09,11.69,14.17,1936.26,107.57,9,0,0,11.0,8.0,22.0,17.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
99.0,465.34,0.04,24.55,18.96,11422.07,634.56,27,24,8,15.0,11.0,63.0,36.0,3,3
16.0,59.21,0.24,4.08,14.5,241.76,13.43,7,0,3,7.0,6.0,9.0,7.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
95.0,502.11,0.08,12.32,40.76,6186.03,343.67,20,0,6,14.0,25.0,51.0,44.0,3,3
73.0,330.22,0.03,32.0,10.32,10567.04,587.06,19,3,31,16.0,7.0,45.0,28.0,3,3
75.0,339.27,0.04,23.33,14.54,7916.23,439.79,12,2,19,14.0,9.0,45.0,30.0,3,3
97.0,396.48,0.02,43.2,9.18,17128.1,951.56,12,0,0,12.0,5.0,61.0,36.0,3,3
128.0,651.2,0.03,37.14,17.53,24187.25,1343.74,38,72,26,20.0,14.0,76.0,52.0,3,3
95.0,502.11,0.08,12.32,40.76,6186.03,343.67,21,0,6,14.0,25.0,51.0,44.0,3,3
19.0,70.31,0.19,5.25,13.39,369.12,20.51,7,4,2,7.0,6.0,10.0,9.0,3,3
116.0,574.69,0.03,33.23,17.29,19097.28,1060.96,33,5,14,18.0,13.0,68.0,48.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
52.0,238.42,0.14,6.9,34.55,1645.08,91.39,13,9,5,9.0,15.0,29.0,23.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
48.0,222.91,0.18,5.63,39.63,1253.84,69.66,14,5,2,9.0,16.0,28.0,20.0,3,3
50.0,235.02,0.18,5.56,42.28,1306.45,72.58,15,5,2,9.0,17.0,29.0,21.0,3,3
364.0,2215.84,0.02,50.45,43.92,111794.23,6210.79,79,0,2,26.0,42.0,201.0,163.0,3,3
292.0,1909.43,0.04,22.9,83.4,43717.5,2428.75,100,5,11,26.0,67.0,174.0,118.0,3,3
223.0,1338.0,0.06,16.07,83.25,21503.57,1194.64,57,1,11,15.0,49.0,118.0,105.0,3,3
185.0,1097.19,0.05,18.84,58.25,20667.93,1148.22,38,0,9,,,,,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
43.0,188.87,0.12,8.64,21.87,1631.15,90.62,9,1,4,10.0,11.0,24.0,19.0,3,3
260.0,1577.18,0.03,29.02,54.34,45774.99,2543.06,67,14,12,24.0,43.0,156.0,104.0,3,3
205.0,1195.74,0.04,27.06,44.19,32355.38,1797.52,54,14,11,23.0,34.0,125.0,80.0,3,3
269.0,1459.67,0.03,30.81,47.37,44979.31,2498.85,48,19,8,16.0,27.0,165.0,104.0,3,3
349.0,2061.5,0.02,64.31,32.04,132580.53,7365.58,68,35,26,28.0,32.0,202.0,147.0,3,3
143.0,721.35,0.05,18.57,38.84,13396.47,744.25,26,2,6,12.0,21.0,78.0,65.0,3,3
97.0,485.0,0.09,11.63,41.7,5641.32,313.41,16,4,6,13.0,19.0,63.0,34.0,3,3
41.0,180.09,0.11,9.33,19.29,1680.79,93.38,14,0,4,12.0,9.0,27.0,14.0,3,3
105.0,534.18,0.09,11.76,45.42,6283.02,349.06,18,4,6,13.0,21.0,67.0,38.0,3,3
91.0,427.74,0.05,22.0,19.44,9410.28,522.78,14,3,13,13.0,13.0,47.0,44.0,3,3
169.0,953.81,0.05,18.29,52.16,17443.19,969.07,47,4,9,17.0,33.0,98.0,71.0,3,3
1229.0,7582.84,0.01,91.2,83.15,691554.81,38419.71,79,43,8,27.0,45.0,925.0,304.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
137.0,792.05,0.1,9.9,79.97,7845.03,435.83,38,15,13,13.0,42.0,73.0,64.0,3,3
7.0,19.65,0.5,2.0,9.83,39.3,2.18,2,0,0,4.0,3.0,4.0,3.0,3,3
27.0,110.36,0.24,4.2,26.28,463.52,25.75,3,5,6,7.0,10.0,15.0,12.0,3,3
20.0,78.14,0.22,4.5,17.36,351.62,19.53,7,0,1,9.0,6.0,14.0,6.0,3,3
149.0,787.52,0.05,20.0,39.38,15750.5,875.03,55,7,8,15.0,24.0,85.0,64.0,3,3
84.0,434.27,0.11,9.25,46.95,4017.03,223.17,14,0,4,12.0,24.0,47.0,37.0,3,3
84.0,430.86,0.1,9.65,44.64,4158.72,231.04,14,0,4,12.0,23.0,47.0,37.0,3,3
76.0,357.23,0.05,20.45,17.46,7307.05,405.95,13,4,7,15.0,11.0,46.0,30.0,3,3
179.0,965.22,0.03,34.5,27.98,33300.26,1850.01,68,0,19,23.0,19.0,122.0,57.0,3,3
198.0,1154.91,0.03,30.86,37.43,35639.87,1979.99,48,14,16,25.0,32.0,119.0,79.0,3,3
86.0,433.82,0.08,13.33,32.54,5784.24,321.35,24,1,2,15.0,18.0,54.0,32.0,3,3
143.0,775.96,0.03,31.05,24.99,24093.43,1338.52,37,0,8,23.0,20.0,89.0,54.0,3,3
581.0,3549.05,0.02,60.15,59.0,213471.74,11859.54,148,32,8,22.0,47.0,324.0,257.0,3,3
72.0,363.2,0.06,15.6,23.28,5665.86,314.77,20,6,6,18.0,15.0,46.0,26.0,3,3
70.0,346.79,0.07,14.57,23.8,5053.28,280.74,33,0,8,17.0,14.0,46.0,24.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
17.0,62.91,0.21,4.8,13.11,301.96,16.78,4,0,1,8.0,5.0,11.0,6.0,3,3
56.0,274.79,0.11,8.79,31.25,2416.5,134.25,8,0,4,13.0,17.0,33.0,23.0,3,3
77.0,353.04,0.05,18.33,19.26,6472.44,359.58,17,0,5,15.0,9.0,55.0,22.0,3,3
89.0,418.34,0.04,22.4,18.68,9370.8,520.6,17,0,5,16.0,10.0,61.0,28.0,3,3
89.0,413.3,0.06,17.82,23.2,7364.31,409.13,19,0,5,14.0,11.0,61.0,28.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
111.0,582.52,0.05,19.5,29.87,11359.14,631.06,19,0,4,19.0,19.0,72.0,39.0,3,3
86.0,448.01,0.08,13.33,33.6,5973.51,331.86,24,1,9,16.0,21.0,51.0,35.0,3,3
100.0,535.76,0.08,12.4,43.19,6645.43,369.19,19,5,3,15.0,26.0,57.0,43.0,3,3
62.0,307.16,0.11,9.39,32.72,2883.89,160.22,18,5,3,13.0,18.0,36.0,26.0,3,3
13.0,43.19,0.5,2.0,21.59,86.37,4.8,3,0,1,4.0,6.0,7.0,6.0,3,3
132.0,711.79,0.05,20.0,35.59,14235.72,790.87,29,4,5,20.0,22.0,88.0,44.0,3,3
129.0,620.15,0.04,27.33,22.69,16950.73,941.71,39,0,4,16.0,12.0,88.0,41.0,3,3
121.0,581.69,0.04,24.67,23.58,14348.35,797.13,38,0,5,16.0,12.0,84.0,37.0,3,3
7.0,19.65,0.5,2.0,9.83,39.3,2.18,2,0,0,4.0,3.0,4.0,3.0,3,3
216.0,1149.54,0.02,51.33,22.39,59009.54,3278.31,64,18,73,22.0,18.0,132.0,84.0,3,3
82.0,406.24,0.06,17.6,23.08,7149.9,397.22,18,0,7,16.0,15.0,49.0,33.0,3,3
345.0,2062.15,0.04,23.91,86.26,49298.55,2738.81,102,5,5,15.0,48.0,192.0,153.0,3,3
17.0,62.91,0.18,5.6,11.23,352.28,19.57,7,0,3,8.0,5.0,10.0,7.0,3,3
22.0,81.41,0.26,3.86,21.11,314.01,17.44,6,1,11,6.0,7.0,13.0,9.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
110.0,539.76,0.06,17.0,31.75,9175.89,509.77,20,5,4,15.0,15.0,76.0,34.0,3,3
103.0,540.54,0.05,22.22,24.32,12011.92,667.33,25,1,3,20.0,18.0,63.0,40.0,3,3
382.0,2349.2,0.02,41.31,56.87,97048.2,5391.57,89,37,17,26.0,45.0,239.0,143.0,3,3
7.0,19.65,0.5,2.0,9.83,39.3,2.18,2,0,0,4.0,3.0,4.0,3.0,3,3
54.0,262.33,0.07,13.46,19.49,3530.54,196.14,16,4,2,17.0,12.0,35.0,19.0,3,3
108.0,578.62,0.05,19.95,29.0,11543.38,641.3,29,5,5,21.0,20.0,70.0,38.0,3,3
120.0,638.63,0.03,28.72,22.23,18342.91,1019.05,32,0,5,22.0,18.0,73.0,47.0,3,3
238.0,1400.07,0.03,28.75,48.7,40251.99,2236.22,71,2,9,23.0,36.0,148.0,90.0,3,3
189.0,1005.84,0.02,48.03,20.94,48310.12,2683.9,43,1,11,23.0,17.0,122.0,71.0,3,3
113.0,616.92,0.04,22.5,27.42,13880.6,771.14,28,0,1,22.0,22.0,68.0,45.0,3,3
129.0,712.54,0.04,26.0,27.41,18526.03,1029.22,34,0,3,23.0,23.0,77.0,52.0,3,3
94.0,496.83,0.05,18.95,26.22,9413.58,522.98,23,0,2,20.0,19.0,58.0,36.0,3,3
226.0,1233.83,0.03,39.72,31.07,49004.57,2722.48,48,0,6,21.0,23.0,139.0,87.0,3,3
498.0,3191.88,0.02,51.27,62.26,163640.68,9091.15,115,0,21,26.0,46.0,210.0,147.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
333.0,1462.64,0.01,104.0,14.06,152114.74,8450.82,20,2,2,14.0,7.0,229.0,104.0,3,3
235.0,1290.59,0.07,14.56,88.65,18789.41,1043.85,30,0,10,11.0,34.0,145.0,90.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
47.0,225.95,0.11,9.0,25.11,2033.51,112.97,14,0,1,14.0,14.0,29.0,18.0,3,3
41.0,187.98,0.11,9.0,20.89,1691.85,93.99,14,8,7,12.0,12.0,23.0,18.0,3,3
84.0,434.27,0.06,17.5,24.82,7599.79,422.21,28,1,6,18.0,18.0,49.0,35.0,3,3
39.0,171.3,0.1,10.0,17.13,1713.0,95.17,14,0,3,12.0,9.0,24.0,15.0,3,3
68.0,333.67,0.13,7.82,42.69,2607.88,144.88,13,0,5,11.0,19.0,41.0,27.0,3,3
51.0,233.83,0.06,15.83,14.77,3702.36,205.69,10,0,1,15.0,9.0,32.0,19.0,3,3
22.0,83.76,0.16,6.3,13.3,527.7,29.32,10,1,1,9.0,5.0,15.0,7.0,3,3
51.0,224.01,0.07,15.33,14.61,3434.79,190.82,16,0,2,12.0,9.0,28.0,23.0,3,3
456.0,2813.49,0.02,49.5,56.84,139267.55,7737.09,105,3,20,24.0,48.0,258.0,198.0,3,3
65.0,315.77,0.07,13.93,22.67,4398.21,244.34,29,0,3,15.0,14.0,39.0,26.0,3,3
72.0,360.0,0.08,13.24,27.2,4764.71,264.71,16,6,2,15.0,17.0,42.0,30.0,3,3
216.0,1275.89,0.03,33.21,38.41,42377.72,2354.32,64,12,13,25.0,35.0,123.0,93.0,3,3
125.0,669.69,0.03,30.35,22.06,20327.18,1129.29,23,0,3,24.0,17.0,82.0,43.0,3,3
245.0,1453.03,0.05,21.71,66.92,31551.52,1752.86,61,13,15,19.0,42.0,149.0,96.0,3,3
117.0,653.44,0.12,8.67,75.4,5663.15,314.62,39,0,1,12.0,36.0,65.0,52.0,3,3
299.0,1678.8,0.02,58.83,28.54,98758.54,5486.59,65,0,5,23.0,26.0,166.0,133.0,3,3
67.0,335.0,0.07,14.0,23.93,4690.0,260.56,23,3,5,16.0,16.0,39.0,28.0,3,3
232.0,1335.13,0.04,22.75,58.69,30374.3,1687.46,75,4,13,18.0,36.0,141.0,91.0,3,3
10.0,25.85,0.67,1.5,17.23,38.77,2.15,4,0,0,3.0,3.0,7.0,3.0,3,3
23.0,95.91,0.14,7.07,13.56,678.21,37.68,6,0,1,11.0,7.0,14.0,9.0,3,3
86.0,404.24,0.07,13.93,29.01,5632.38,312.91,18,0,1,11.0,15.0,48.0,38.0,3,3
431.0,2419.94,0.03,39.52,61.24,95624.29,5312.46,99,0,12,16.0,33.0,268.0,163.0,3,3
11.0,34.87,0.4,2.5,13.95,87.17,4.84,3,0,0,5.0,4.0,7.0,4.0,3,3
14.0,48.43,0.23,4.38,11.07,211.89,11.77,5,0,0,7.0,4.0,9.0,5.0,3,3
137.0,708.28,0.06,17.86,39.66,12647.85,702.66,30,0,11,15.0,21.0,87.0,50.0,3,3
160.0,920.78,0.05,19.73,46.68,18164.52,1009.14,50,5,5,21.0,33.0,98.0,62.0,3,3
18.0,66.61,0.36,2.81,23.68,187.33,10.41,5,0,1,5.0,8.0,9.0,9.0,3,3
14.0,46.51,0.5,2.0,23.25,93.01,5.17,4,0,2,4.0,6.0,8.0,6.0,3,3
14.0,46.51,0.5,2.0,23.25,93.01,5.17,4,0,2,4.0,6.0,8.0,6.0,3,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,3,3
309.0,1725.75,0.02,58.15,29.68,100356.31,5575.35,77,7,9,25.0,23.0,202.0,107.0,3,3
264.0,1432.53,0.02,56.21,25.49,80523.48,4473.53,60,3,7,24.0,19.0,175.0,89.0,3,3
112.0,579.03,0.07,13.57,42.69,7854.69,436.37,28,0,8,13.0,23.0,64.0,48.0,3,3
108.0,589.62,0.04,26.0,22.68,15330.08,851.67,19,1,4,26.0,18.0,72.0,36.0,3,3
146.0,771.67,0.07,15.0,51.44,11575.03,643.06,35,18,16,13.0,26.0,86.0,60.0,3,3
